FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
636343,2682112,51,2986,4277,141882,13.3
636343,65559808,281,18337,28137,102441,20.0
636343,249482496,909,63240,30601,54446,40.0
636343,306756864,1042,77223,57776,13155,20.0
636344,311823616,1230,78460,68492,1014,20.0
636344,311823616,1230,78460,68498,1008,26.7
636345,312687872,1422,78671,68524,579,26.7
636345,312638720,1419,78659,68532,586,0.0
636345,312630528,1419,78657,68528,592,33.3
636346,312732928,1423,78682,68491,600,20.0
