FullScans,GeneralProfit,PagesShared,TotalPagesShared,PagesNotShared,PagesVolatile,KSM_CPU
574183,-320,0,0,0,5,29.00
574205,7813120,30,1970,2000,0,28.00
574226,7813120,30,1970,2000,0,32.00
574246,-256000,0,0,2000,2000,19.00
574269,11892736,34,2966,1000,0,20.00
574292,11892736,34,2966,1000,0,19.00
574315,7763968,25,1958,1002,1015,6.00
574340,16005120,30,3970,0,0,6.00
574366,16005120,30,3970,0,0,6.00
574390,15939584,34,3954,0,12,6.00
574416,16005120,30,3970,0,0,6.00
574441,16005120,30,3970,0,0,6.00
574466,15185920,31,3769,0,1175,29.00
574486,7903232,8,1992,2000,0,29.00
574506,7903232,8,1992,2000,0,32.00
574526,6944768,8,1758,2000,235,20.00
574549,11982848,12,2988,999,1,19.00
574571,11982848,12,2988,1000,0,20.00
574594,10958848,34,2738,1000,228,20.00
574617,11896832,33,2967,1000,0,20.00
574640,11896832,33,2967,1000,0,20.00
574664,9357312,30,2347,1119,504,29.00
574684,7903232,8,1992,2000,0,31.00
574704,7903232,8,1992,2000,0,29.00
574725,3819520,5,995,2000,1000,28.00
574746,7899136,9,1991,2000,0,29.00
574766,7899136,9,1991,2000,0,30.00
574786,6875136,9,1741,2000,250,31.00
574807,7813120,30,1970,2000,0,30.00
574827,7813120,30,1970,2000,0,33.00
574846,7813120,30,1970,2000,0,17.00
574870,11982848,12,2988,1000,0,20.00
574893,11982848,12,2988,1000,0,20.00
574916,11982848,12,2988,1000,0,7.00
574941,16062464,16,3984,0,0,6.00
574966,16062464,16,3984,0,0,6.00
574991,15394816,16,3821,0,163,21.00
575014,11884544,36,2964,1000,0,20.00
575037,11884544,36,2964,1000,0,18.00
575060,11884544,36,2964,1000,0,8.00
575085,16062464,16,3984,0,0,6.00
575110,16062464,16,3984,0,0,5.00
575135,6506496,7,1651,0,2342,6.00
575160,15984640,35,3965,0,0,5.00
575185,15984640,35,3965,0,0,6.00
